y_point,force,p1,p2,p3,p4,p5,p6,p7
-5.6776,5,-0.4882958,-0.6037807,-0.6844427,-0.6081665,-0.5151174,-0.3837767,-0.1974875
-5.6776,10,-0.9765916,-1.2075615,-1.3688854,-1.2163331,-1.0302348,-0.7675535,-0.3949750
-5.6776,15,-1.4648874,-1.8113423,-2.0533281,-1.8244996,-1.5453522,-1.1513302,-0.5924626
-5.6776,20,-1.9531833,-2.4151231,-2.7377709,-2.4326662,-2.0604697,-1.5351070,-0.7899501
-5.6776,25,-2.4414790,-3.0189039,-3.4222135,-3.0408327,-2.5755871,-1.9188837,-0.9874377
-5.6776,30,-2.9297749,-3.6226847,-4.1066563,-3.6489993,-3.0907045,-2.3026605,-1.1849252
-5.6349,5,-0.2928486,-0.3401182,-0.3787235,-0.3328667,-0.2814014,-0.2099182,-0.1061721
-5.6349,10,-0.5856973,-0.6802365,-0.7574470,-0.6657335,-0.5628028,-0.4198364,-0.2123443
-5.6349,15,-0.8785460,-1.0203548,-1.1361705,-0.9986002,-0.8442043,-0.6297547,-0.3185165
-5.6349,20,-1.1713947,-1.3604731,-1.5148940,-1.3314669,-1.1256057,-0.8396729,-0.4246887
-5.6349,25,-1.4642433,-1.7005913,-1.8936176,-1.6643338,-1.4070072,-1.0495912,-0.5308609
-5.6349,30,-1.7570921,-2.0407096,-2.2723410,-1.9972005,-1.6884087,-1.2595095,-0.6370330
-5.5691,5,-0.0461126,-0.0554489,-0.0546876,-0.0449279,-0.0385338,-0.0294711,-0.0112685
-5.5691,10,-0.0922253,-0.1108979,-0.1093753,-0.0898558,-0.0770676,-0.0589422,-0.0225371
-5.5691,15,-0.1383380,-0.1663469,-0.1640630,-0.1347837,-0.1156014,-0.0884133,-0.0338057
-5.5691,20,-0.1844507,-0.2217959,-0.2187507,-0.1797117,-0.1541352,-0.1178844,-0.0450743
-5.5691,25,-0.2305634,-0.2772449,-0.2734383,-0.2246396,-0.1926690,-0.1473555,-0.0563429
-5.5691,30,-0.2766761,-0.3326939,-0.3281260,-0.2695675,-0.2312028,-0.1768266,-0.0676115
-5.36,5,0.21119014,0.26476739,0.31370161,0.27657974,0.22939657,0.16882941,0.09302011
-5.36,10,0.42238029,0.52953478,0.62740323,0.55315949,0.45879314,0.33765882,0.18604023
-5.36,15,0.63357047,0.79430219,0.94110482,0.82973929,0.68818972,0.50648823,0.27906035
-5.36,20,0.84476059,1.05906956,1.25480646,1.10631899,0.91758629,0.67531764,0.37208046
-5.36,25,1.05595072,1.32383702,1.56850801,1.38289879,1.14698286,0.84414705,0.46510058
-5.36,30,1.26714094,1.58860439,1.88220965,1.65947858,1.37637944,1.01297646,0.55812070
-4.9438,5,0.35945099,0.54814981,0.65743670,0.58043628,0.48223541,0.35442294,0.18959133
-4.9438,10,0.71890199,1.09629963,1.31487340,1.16087257,0.96447083,0.70884589,0.37918266
-4.9438,15,1.07835294,1.64444936,1.97231001,1.74130873,1.44670630,1.06326888,0.56877397
-4.9438,20,1.43780398,2.19259927,2.62974681,2.32174515,1.92894167,1.41769178,0.75836533
-4.9438,25,1.79725502,2.74074900,3.28718342,2.90218140,2.41117704,1.77211477,0.94795668
-4.9438,30,2.15670588,3.28889873,3.94462003,3.48261746,2.89341260,2.12653776,1.13754795
-4.8493,5,0.12526196,0.19323945,0.23606769,0.20611873,0.16967325,0.12403305,0.06864771
-4.8493,10,0.25052393,0.38647890,0.47213538,0.41223747,0.33934650,0.24806611,0.13729543
-4.8493,15,0.37578588,0.57971833,0.70820306,0.61835626,0.50901976,0.37209917,0.20594313
-4.8493,20,0.50104786,0.77295781,0.94427077,0.82447495,0.67869300,0.49613222,0.27459086
-4.8493,25,0.62630983,0.96619723,1.18033840,1.03059373,0.84836619,0.62016529,0.34323857
-4.8493,30,0.75157176,1.15943666,1.41640612,1.23671252,1.01803952,0.74419835,0.41188627
-4.5798,5,-0.0450939,-0.0802772,-0.0812033,-0.0670527,-0.0574350,-0.0425847,-0.0183167
-4.5798,10,-0.0901878,-0.1605544,-0.1624067,-0.1341054,-0.1148700,-0.0851695,-0.0366335
-4.5798,15,-0.1352817,-0.2408316,-0.2436101,-0.2011582,-0.1723050,-0.1277543,-0.0549503
-4.5798,20,-0.1803756,-0.3211088,-0.3248134,-0.2682109,-0.2297401,-0.1703390,-0.0732671
-4.5798,25,-0.2254695,-0.4013861,-0.4060168,-0.3352637,-0.2871751,-0.2129238,-0.0915839
-4.5798,30,-0.2705634,-0.4816633,-0.4872202,-0.4023164,-0.3446101,-0.2555086,-0.1099007
-4.3639,5,-0.2599208,-0.4138170,-0.4711552,-0.4178962,-0.3581742,-0.2621553,-0.1301241
-4.3639,10,-0.5198417,-0.8276341,-0.9423105,-0.8357924,-0.7163484,-0.5243106,-0.2602482
-4.3639,15,-0.7797627,-1.2414512,-1.4134658,-1.2536886,-1.0745226,-0.7864659,-0.3903724
-4.3639,20,-1.0396835,-1.6552683,-1.8846210,-1.6715848,-1.4326968,-1.0486213,-0.5204964
-4.3639,25,-1.2996045,-2.0690855,-2.3557762,-2.0894811,-1.7908711,-1.3107766,-0.6506206
-4.3639,30,-1.5595254,-2.4829025,-2.8269316,-2.5073773,-2.1490452,-1.5729319,-0.7807448
-4.1959,5,-0.4178140,-0.6504132,-0.7799971,-0.7214535,-0.6292983,-0.4615948,-0.2306765
-4.1959,10,-0.8356281,-1.3008265,-1.5599942,-1.4429070,-1.2585966,-0.9231896,-0.4613530
-4.1959,15,-1.2534422,-1.9512397,-2.3399914,-2.1643605,-1.8878950,-1.3847844,-0.6920295
-4.1959,20,-1.6712563,-2.6016530,-3.1199884,-2.8858141,-2.5171933,-1.8463792,-0.9227060
-4.1959,25,-2.0890704,-3.2520663,-3.8999856,-3.6072677,-3.1464918,-2.3079739,-1.1533825
-4.1959,30,-2.5068844,-3.9024795,-4.6799828,-4.3287211,-3.7757901,-2.7695688,-1.3840591
-3.7946,5,-0.2178755,-0.3441350,-0.4176430,-0.4145352,-0.3811833,-0.2796973,-0.1364799
-3.7946,10,-0.4357511,-0.6882701,-0.8352861,-0.8290705,-0.7623666,-0.5593947,-0.2729599
-3.7946,15,-0.6536267,-1.0324051,-1.2529291,-1.2436057,-1.1435498,-0.8390920,-0.4094399
-3.7946,20,-0.8715022,-1.3765402,-1.6705722,-1.6581410,-1.5247332,-1.1187895,-0.5459199
-3.7946,25,-1.0893779,-1.7206752,-2.0882152,-2.0726762,-1.9059165,-1.3984868,-0.6823998
-3.7946,30,-1.3072534,-2.0648103,-2.5058583,-2.4872115,-2.2870997,-1.6781841,-0.8188798
-3.5244,5,-0.0589022,-0.0949975,-0.1179821,-0.1250634,-0.1209173,-0.0887110,-0.0411446
-3.5244,10,-0.1178045,-0.1899950,-0.2359642,-0.2501269,-0.2418346,-0.1774220,-0.0822892
-3.5244,15,-0.1767067,-0.2849925,-0.3539463,-0.3751903,-0.3627520,-0.2661331,-0.1234338
-3.5244,20,-0.2356090,-0.3799900,-0.4719284,-0.5002538,-0.4836693,-0.3548441,-0.1645784
-3.5244,25,-0.2945113,-0.4749876,-0.5899105,-0.6253172,-0.6045866,-0.4435552,-0.2057230
-3.5244,30,-0.3534135,-0.5699851,-0.7078927,-0.7503806,-0.7255040,-0.5322662,-0.2468676
-3.2602,5,0.04298689,0.06927970,0.09805316,0.11476794,0.11220163,0.08257321,0.04438932
-3.2602,10,0.08597379,0.13855940,0.19610633,0.22953588,0.22440326,0.16514643,0.08877864
-3.2602,15,0.12896069,0.20783909,0.29415953,0.34430381,0.33660489,0.24771966,0.13316797
-3.2602,20,0.17194759,0.27711878,0.39221267,0.45907177,0.44880653,0.33029286,0.17755729
-3.2602,25,0.21493449,0.34639849,0.49026584,0.57383967,0.56100816,0.41286607,0.22194660
-3.2602,30,0.25792139,0.41567818,0.58831906,0.68860763,0.67320979,0.49543932,0.26633592
-3.0233,5,0.10568060,0.17785754,0.27440801,0.34016436,0.33639844,0.25261829,0.13470578
-3.0233,10,0.21136120,0.35571508,0.54881602,0.68032873,0.67279688,0.50523658,0.26941156
-3.0233,15,0.31704180,0.53357262,0.82322403,1.02049307,1.00919532,0.75785487,0.40411737
-3.0233,20,0.42272240,0.71143017,1.09763204,1.36065746,1.34559377,1.01047317,0.53882313
-3.0233,25,0.52840300,0.88928773,1.37203996,1.70082184,1.68199221,1.26309150,0.67352893
-3.0233,30,0.63408360,1.06714524,1.64644807,2.04098614,2.01839065,1.51570975,0.80823474
-2.794,5,0.14932229,0.25483043,0.41988441,0.53816243,0.53295102,0.40878644,0.22570673
-2.794,10,0.29864459,0.50966086,0.83976883,1.07632486,1.06590205,0.81757289,0.45141346
