Эпохи, Потери
0.000000000000000000e+00,5.439149737358093262e-01
2.000000000000000000e+01,8.357316851615905762e-01
4.000000000000000000e+01,7.040464878082275391e-01
6.000000000000000000e+01,2.511083781719207764e-01
8.000000000000000000e+01,2.253975272178649902e-01
1.000000000000000000e+02,3.184418380260467529e-01
1.200000000000000000e+02,2.254583239555358887e-01
1.400000000000000000e+02,1.409255862236022949e-01
1.600000000000000000e+02,1.709657311439514160e-01
1.800000000000000000e+02,2.765990197658538818e-01
2.000000000000000000e+02,8.886221051216125488e-02
2.200000000000000000e+02,1.109259501099586487e-01
2.400000000000000000e+02,1.106831431388854980e-01
2.600000000000000000e+02,1.329450905323028564e-01
2.800000000000000000e+02,1.536990255117416382e-01
3.000000000000000000e+02,8.907301723957061768e-02
3.200000000000000000e+02,8.705206215381622314e-02
3.400000000000000000e+02,1.766180247068405151e-01
3.600000000000000000e+02,1.196905821561813354e-01
3.800000000000000000e+02,8.317545056343078613e-02
4.000000000000000000e+02,7.352163642644882202e-02
4.200000000000000000e+02,1.525199264287948608e-01
4.400000000000000000e+02,1.029962599277496338e-01
4.600000000000000000e+02,7.267291843891143799e-02
4.800000000000000000e+02,5.659552291035652161e-02
5.000000000000000000e+02,9.120173752307891846e-02
5.200000000000000000e+02,1.183219905942678452e-02
5.400000000000000000e+02,6.646384950727224350e-03
5.600000000000000000e+02,5.898468568921089172e-02
5.800000000000000000e+02,1.788881421089172363e-02
6.000000000000000000e+02,1.105971448123455048e-02
6.200000000000000000e+02,1.153591088950634003e-02
6.400000000000000000e+02,2.424388565123081207e-02
6.600000000000000000e+02,3.199158981442451477e-02
6.800000000000000000e+02,2.877896279096603394e-02
7.000000000000000000e+02,1.089523583650588989e-01
7.200000000000000000e+02,1.093807257711887360e-02
7.400000000000000000e+02,1.001420803368091583e-02
7.600000000000000000e+02,7.507817819714546204e-03
7.800000000000000000e+02,2.318885549902915955e-02
8.000000000000000000e+02,2.333407849073410034e-02
8.200000000000000000e+02,3.877179697155952454e-03
8.400000000000000000e+02,1.861411891877651215e-02
8.600000000000000000e+02,5.848030745983123779e-02
8.800000000000000000e+02,1.650925911962985992e-02
9.000000000000000000e+02,1.823928579688072205e-02
9.200000000000000000e+02,7.056341040879487991e-03
9.400000000000000000e+02,6.738850381225347519e-03
9.600000000000000000e+02,7.103495765477418900e-03
9.800000000000000000e+02,1.088007818907499313e-02
1.000000000000000000e+03,1.079267729073762894e-02
1.020000000000000000e+03,1.253562271595001221e-01
1.040000000000000000e+03,1.808767952024936676e-02
1.060000000000000000e+03,1.542460406199097633e-03
1.080000000000000000e+03,3.179959952831268311e-02
1.100000000000000000e+03,1.712418626993894577e-03
1.120000000000000000e+03,1.137261278927326202e-02
1.140000000000000000e+03,3.919941373169422150e-03
1.160000000000000000e+03,3.689222037792205811e-03
1.180000000000000000e+03,8.148621767759323120e-02
1.200000000000000000e+03,2.553596347570419312e-02
1.220000000000000000e+03,4.529409110546112061e-02
1.240000000000000000e+03,5.584036000072956085e-03
1.260000000000000000e+03,1.106559578329324722e-02
1.280000000000000000e+03,6.926201283931732178e-02
1.300000000000000000e+03,3.117285901680588722e-03
1.320000000000000000e+03,6.692320574074983597e-03
1.340000000000000000e+03,3.169768489897251129e-03
1.360000000000000000e+03,5.376101471483707428e-03
1.380000000000000000e+03,2.107420377433300018e-02
1.400000000000000000e+03,2.420524880290031433e-02
1.420000000000000000e+03,1.388326287269592285e-02
1.440000000000000000e+03,2.223182469606399536e-03
1.460000000000000000e+03,9.417011169716715813e-04
1.480000000000000000e+03,1.036378275603055954e-02
1.500000000000000000e+03,2.675865776836872101e-02
1.520000000000000000e+03,2.292854897677898407e-02
1.540000000000000000e+03,7.015172392129898071e-02
1.560000000000000000e+03,1.075564417988061905e-02
1.580000000000000000e+03,1.857942552305757999e-03
1.600000000000000000e+03,2.355559356510639191e-02
1.620000000000000000e+03,1.200278177857398987e-01
1.640000000000000000e+03,1.189661212265491486e-03
1.660000000000000000e+03,1.372131402604281902e-03
1.680000000000000000e+03,2.497027162462472916e-03
1.700000000000000000e+03,7.447233051061630249e-02
1.720000000000000000e+03,4.156338982284069061e-03
1.740000000000000000e+03,5.063178250566124916e-04
1.760000000000000000e+03,4.412737861275672913e-02
1.780000000000000000e+03,1.086182193830609322e-03
1.800000000000000000e+03,2.903773449361324310e-03
1.820000000000000000e+03,7.629710249602794647e-03
1.840000000000000000e+03,1.174025516957044601e-02
1.860000000000000000e+03,2.651672810316085815e-02
1.880000000000000000e+03,6.620368803851306438e-04
1.900000000000000000e+03,4.135491326451301575e-03
1.920000000000000000e+03,1.539091463200747967e-03
1.940000000000000000e+03,3.135284408926963806e-02
1.960000000000000000e+03,5.642969626933336258e-03
1.980000000000000000e+03,1.156274229288101196e-03
2.000000000000000000e+03,1.417471934109926224e-02
2.020000000000000000e+03,8.173218928277492523e-03
2.040000000000000000e+03,4.139573778957128525e-03
2.060000000000000000e+03,3.990509547293186188e-03
2.080000000000000000e+03,9.044506587088108063e-04
2.100000000000000000e+03,3.486976772546768188e-02
2.120000000000000000e+03,1.225540414452552795e-03
2.140000000000000000e+03,8.177597774192690849e-04
2.160000000000000000e+03,3.999115433543920517e-03
2.180000000000000000e+03,2.126372884958982468e-03
2.200000000000000000e+03,3.821571357548236847e-03
2.220000000000000000e+03,1.253692433238029480e-03
2.240000000000000000e+03,2.103041857481002808e-03
2.260000000000000000e+03,8.435926400125026703e-03
2.280000000000000000e+03,6.049757357686758041e-04
2.300000000000000000e+03,1.371717918664216995e-02
2.320000000000000000e+03,1.634931773878633976e-03
2.340000000000000000e+03,7.283967453986406326e-03
2.360000000000000000e+03,5.881647113710641861e-03
2.380000000000000000e+03,3.532535396516323090e-03
2.400000000000000000e+03,3.146445611491799355e-03
2.420000000000000000e+03,2.688341541215777397e-03
